time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-30 00:00:00+00:00,12,7,35,2
2023-07-01 00:00:00+00:00,4,3,0,0
2023-07-02 00:00:00+00:00,3,2,0,0
2023-07-03 00:00:00+00:00,6,4,0,0
2023-07-04 00:00:00+00:00,3,2,0,0
2023-07-05 00:00:00+00:00,4,3,0,0
2023-07-06 00:00:00+00:00,3,3,0,0
2023-07-07 00:00:00+00:00,4,3,0,0
2023-07-08 00:00:00+00:00,3,2,0,0
2023-07-09 00:00:00+00:00,3,2,0,0
2023-07-10 00:00:00+00:00,3,2,0,0
2023-07-11 00:00:00+00:00,3,2,0,0
2023-07-12 00:00:00+00:00,4,3,0,0
2023-07-13 00:00:00+00:00,4,3,0,0
2023-07-14 00:00:00+00:00,3,2,0,0
2023-07-15 00:00:00+00:00,3,2,0,0
2023-07-16 00:00:00+00:00,4,3,0,0
2023-07-17 00:00:00+00:00,3,2,0,0
2023-07-18 00:00:00+00:00,3,2,0,0
2023-07-19 00:00:00+00:00,3,2,0,0
2023-07-20 00:00:00+00:00,3,2,0,0
2023-07-21 00:00:00+00:00,4,3,0,0
2023-07-22 00:00:00+00:00,3,2,0,0
2023-07-23 00:00:00+00:00,4,3,13,1
2023-07-24 00:00:00+00:00,4,3,0,0
2023-07-25 00:00:00+00:00,3,2,0,0
2023-07-26 00:00:00+00:00,3,2,0,0
2023-07-27 00:00:00+00:00,3,2,0,0
